Cities,ID,Year,pop<1$,cons_health,pop_wateraccess,pop_toiletacess,ind_pauv_mon,ind_pauv_nonm,gini,educ_adult,pubhosp,consump/c,for_dentr.,connect_soneb,connec_pomp,#casesantep,#medprive,#clinpriv,#dispens,#hospital,#nursing room,#smi,decentralization,population,Density ,pubexp/c,decentralization2
Grand-Popo,52,2010,52,1,57,29,48,34,1,87,9,236916,100,39,0,0,0,0,2,7,0,0,0.4,52304,181,5756,0.56
Grand-Popo,52,2011,57,4,67,36,48,30,0,70,9,19884,82,2,8,0,0,0,2,7,0,0,1,52304,181,4792,0.72
Houeyogbe,53,2010,62,3,55,29,50,36,0,79,37,152589,99,77,23,10,0,1,0,27,0,5,0.1,96599,333,3393,0.46
Houeyogbe,53,2011,39,8,54,31,41,24,0,85,37,237867,80,10,25,10,0,1,0,27,0,5,0.6,96599,333,5778,0.33
Lokossa,54,2010,48,2,83,43,42,36,0,71,11,187204,91,18,76,4,1,8,2,5,5,1,0.3,99935,384,6047,0.62
Lokossa,54,2011,42,4,90,47,38,33,0,78,11,251835,89,28,47,4,1,8,2,5,5,1,0.3,99935,384,1044,0.30
Adjarra,55,2010,21,1,50,26,29,11,0,83,17,250343,86,22,22,6,1,16,2,9,3,2,0.7,77949,696,3698,0.95
Adjarra,55,2011,43,5,42,23,35,16,0,63,17,262342,79,8,25,6,1,16,2,9,3,2,0.3,77949,696,3632,2.20
Adjohoun,56,2010,30,2,54,28,21,43,0,70,8,240428,86,9,77,0,1,0,1,7,0,0,0.4,73206,238,2901,0.96
Adjohoun,56,2011,52,5,61,33,20,36,0,66,8,211829,79,1,52,0,1,0,1,7,0,0,0.8,73206,238,23201,0.55
Aguegues,57,2010,38,5,100,53,33,58,0,54,0,221906,86,95,5,0,0,0,0,0,0,0,0.1,34559,336,3263,0.43
Aguegues,57,2011,83,1,99,50,32,55,0,49,0,129485,98,1,99,0,0,0,0,0,0,0,1,34559,336,16796,0.35
